budget,genre,director_popularity,cast_popularity,release_month,marketing_spend,trailer_views,revenue
115.49,Romance,5.67,5.8,2.0,23.29,152364308.0,487.27
285.46,Horror,1.46,2.24,11.0,124.1,75338260.0,890.97
220.94,Drama,3.1,6.32,6.0,110.92,32100702.0,917.49
181.6,Horror,5.43,3.83,4.0,80.45,18986265.0,837.88
51.03,Action,3.79,1.47,5.0,5.83,106849533.0,285.55
51.02,Comedy,2.64,9.54,5.0,73.23,195202372.0,749.44
22.13,Thriller,5.54,6.77,4.0,35.33,135247578.0,513.37
260.52,Horror,3.91,8.89,4.0,63.18,73662535.0,1110.8
182.33,Horror,3.32,7.08,4.0,128.75,100669344.0,1083.57
213.88,Action,5.18,4.21,11.0,115.9,199781770.0,885.22
11.07,Horror,2.2,5.61,2.0,37.81,104234480.0,265.56
291.12,Comedy,9.35,7.08,1.0,147.77,192876096.0,1206.83
250.57,Comedy,8.81,9.64,12.0,135.68,4255982.0,1340.31
67.64,Romance,7.37,3.28,2.0,80.24,144471663.0,538.44
58.64,Romance,1.96,8.87,7.0,80.46,125805128.0,624.89
59.1,Romance,7.98,9.32,12.0,135.39,137380642.0,979.11
94.75,Action,8.27,7.03,1.0,96.15,114542851.0,661.85
159.8,Drama,7.91,9.38,6.0,81.43,9791178.0,843.77
132.42,Action,2.03,4.58,4.0,112.87,30763223.0,831.79
90.91,Drama,6.8,9.58,2.0,36.79,184528003.0,584.21
185.5,Comedy,8.51,7.33,3.0,132.0,47352077.0,897.66
46.15,Thriller,6.2,1.38,7.0,80.65,198594517.0,567.24
91.18,Comedy,6.82,9.16,6.0,91.32,136238108.0,788.19
113.08,Thriller,5.13,5.36,6.0,15.31,89426544.0,515.37
139.54,Horror,5.76,5.14,8.0,47.81,184089722.0,625.94
236.63,Drama,1.31,6.1,8.0,65.16,159202252.0,737.2
63.9,Thriller,6.75,2.34,6.0,63.26,86364051.0,503.44
156.7,Drama,1.73,5.22,1.0,117.19,14650001.0,682.83
179.76,Thriller,4.92,8.48,10.0,43.78,173792610.0,918.71
18.7,Sci-Fi,3.63,1.14,7.0,28.95,153242946.0,268.56
184.23,Action,5.91,3.46,8.0,88.23,158356233.0,744.5
55.3,Sci-Fi,2.2,1.02,5.0,93.02,149226888.0,606.66
24.19,Thriller,7.22,4.74,11.0,19.99,55875143.0,267.73
284.92,Sci-Fi,8.16,7.55,4.0,2.37,171910298.0,1046.02
289.86,Sci-Fi,2.47,8.19,7.0,137.81,1444278.0,1141.82
243.48,Drama,1.94,9.51,12.0,13.79,48217979.0,861.27
94.86,Comedy,2.31,6.48,12.0,134.88,10265360.0,798.02
33.81,Thriller,8.89,3.29,11.0,61.08,23008695.0,364.84
206.85,Comedy,5.75,9.32,6.0,98.65,106943448.0,1017.1
134.84,Comedy,5.21,7.98,12.0,29.47,8413982.0,687.34
41.0,Sci-Fi,1.96,6.17,6.0,123.94,37094828.0,602.96
151.08,Romance,6.85,7.26,3.0,28.67,47315289.0,567.74
15.14,Romance,8.81,9.32,11.0,59.2,131412422.0,484.88
273.25,Drama,8.45,7.41,10.0,37.23,94295284.0,1093.94
81.34,Drama,6.63,4.32,4.0,125.95,92224092.0,839.12
200.44,Drama,1.68,7.42,5.0,129.03,153918078.0,1166.69
96.95,Drama,2.01,1.36,9.0,57.06,91887561.0,408.8
158.42,Drama,1.44,4.48,8.0,47.49,70349260.0,531.1
166.28,Drama,3.32,4.66,3.0,116.49,192527758.0,788.76
59.53,Romance,2.22,2.5,6.0,132.02,2650369.0,553.63
291.03,Drama,3.34,1.21,10.0,94.35,61773207.0,1091.68
233.66,Sci-Fi,4.47,2.2,1.0,139.26,122269151.0,899.45
282.15,Horror,9.49,6.89,3.0,58.69,156779038.0,946.51
268.97,Sci-Fi,6.49,8.22,10.0,24.48,163466178.0,1085.99
181.38,Sci-Fi,8.51,9.89,12.0,28.59,10168553.0,873.49
276.95,Action,7.39,4.12,7.0,101.14,142117279.0,1080.56
